model,workload,prompt_length,output_length,dynamic_ept,maxn_ept,best_static_ept,pareto_ept,oracle_energy_ept,oracle_slo_ept,oracle_slo_tpot,oracle_power_tpot,oracle_power_ept,dynamic_tpot,maxn_tpot,best_static_tpot,pareto_tpot,oracle_energy_tpot,oracle_slo_ept_actual_tpot,oracle_power_ept_actual_tpot,dynamic_power,maxn_power,best_static_power,pareto_power,oracle_energy_power,oracle_slo_power,oracle_power_power,oracle_energy_gpu_mhz,oracle_slo_gpu_mhz,oracle_slo_feasible,oracle_power_gpu_mhz,oracle_power_feasible,best_static_cap_mhz,pareto_cap_mhz,dynamic_vs_oracle_energy_gap_pct,maxn_vs_oracle_energy_gap_pct,best_static_vs_oracle_energy_gap_pct,pareto_vs_oracle_energy_gap_pct
Qwen2.5-14B-Instruct-Q4_K_M,p128_o128,128,128,3.9585,3.967875,3.7885390625,3.571671875,3.49284375,,,83.9591600004525,3.49284375,76.93331292097083,76.0584586688618,76.789388299267,76.03374552018354,83.9591600004525,75.90473222080618,0.0,50.669,50.789,48.493,48.1,41.196,0.0,0.0,1122,612,False,1122,True,612,714,13.331722897710494,13.60012883484982,8.465746928988734,2.2568465881131905
Qwen2.5-14B-Instruct-Q4_K_M,p128_o512,128,512,3.976640625,3.988625,3.82996875,3.7201015625,3.51291015625,,,86.55096413686128,3.51291015625,80.33705564783503,78.42954616025892,79.92172538354781,78.84204642457155,86.55096413686128,78.77970990586348,0.0,50.901,51.701,49.024,48.22,41.347,0.0,0.0,1122,612,False,1122,True,612,714,13.200749467644462,13.541901801947063,9.02552526673376,5.897999010346886
Qwen2.5-14B-Instruct-Q4_K_M,p2048_o128,2048,128,5.0473125,5.3156484375,4.9744375,3.580296875,3.352984375,,,82.53525932297462,3.352984375,78.95034684260618,78.49353610255616,78.93445840890072,76.03992940124682,82.53525932297462,75.91033544057731,0.0,47.856,50.4,47.165,48.219,40.875,0.0,0.0,1122,714,False,1122,True,612,408,50.53194215973643,58.53484069695374,48.358505249521166,6.779408269685122
Qwen2.5-14B-Instruct-Q4_K_M,p2048_o512,2048,512,4.1881953125,4.4098046875,4.1238671875,3.723857421875,3.41823828125,,,85.61526712120389,3.41823828125,79.5811901038509,78.71918199030745,79.64419454783602,78.80224637758286,85.61526712120389,78.56207584695738,0.0,49.869,52.507,49.103,48.269,40.701,0.0,0.0,1122,918,False,1122,True,612,714,22.52496660263364,29.00811250312834,20.643057861722912,8.940837808218557
Qwen2.5-14B-Instruct-Q4_K_M,p256_o256,256,256,4.0303671875,4.0137265625,3.8794140625,3.66428125,3.46426171875,,,84.17201446250593,3.46426171875,80.13966020388419,78.91348518440317,80.06877311751904,76.45373776071139,84.17201446250593,76.358270211894,0.0,50.33,51.376,48.445,48.105,41.249,0.0,0.0,1122,408,False,1122,True,612,918,16.34130197744603,15.860950712126376,11.983862001621468,5.773799657439642
Qwen2.5-14B-Instruct-Q4_K_M,p512_o1024,512,1024,3.9514296875,4.02909375,3.8849658203125,3.729359375,2.50940234375,,,86.70660788065891,3.48971484375,80.3507716314847,78.4826304144267,80.48746644388174,79.11423486891864,82.74392731476826,76.86997758626768,0.0,50.264,52.069,49.114,48.34,46.033,0.0,0.0,1224,1300,False,1122,True,612,816,57.46497158343542,60.55989427263402,54.816378090525156,48.615441612560254
Qwen2.5-14B-Instruct-Q4_K_M,p512_o128,512,128,4.26040625,4.3023125,1.24971875,3.576671875,3.401296875,,,83.13965740958302,3.401296875,82.33767300000869,80.14364544885218,80.89607507888756,75.93959273942782,83.13965740958302,75.90492849612212,0.0,49.576,50.063,45.704,48.191,41.463,0.0,0.0,1122,408,False,1122,True,612,612,25.25828842858652,26.490355241337184,-63.25758097784393,5.156121516149638
Qwen2.5-14B-Instruct-Q4_K_M,p512_o512,512,512,4.047478515625,4.013822265625,3.87598046875,3.72312890625,3.519775390625,,,86.49911200778045,3.519775390625,79.80556017218008,77.82442564005305,79.327517491173,78.73405460650994,86.49911200778045,78.73405460650994,0.0,51.037,52.027,49.0,48.358,41.44,0.0,0.0,1122,408,False,1122,True,612,408,14.992522716237785,14.036318235416534,10.12010820559062,5.777457168620376
Qwen2.5-14B-Instruct-Q4_K_M,p64_o64,64,64,3.96853125,3.97646875,3.7695625,3.64434375,3.577921875,,,82.81562990501583,3.586921875,76.82539904785772,75.98747349055927,76.64889326903022,75.74520011188551,78.9185575235428,75.74520011188551,0.0,50.557,50.899,48.25,46.648,45.797,0.0,0.0,1224,918,False,1122,True,612,918,10.917213640949047,11.139060295999338,5.356199260220019,1.8564372649975784
Qwen2.5-7B-Instruct-Q4_K_M,p1024_o1024,1024,1024,2.1649748110831237,2.152758186397985,2.127812342569269,2.0726585365853656,2.0380474452554744,2.0380474452554744,41.03394438454629,48.20841693820186,2.1318978494623657,44.4261417439393,41.51663428506007,44.43892070490392,44.80180109426106,41.03394438454629,0.0,0.0,48.465,51.797,47.591,45.672,48.559,48.559,0.0,1122,1122,True,714,True,1300,816,6.227890627528479,5.628462743080609,4.404455721713696,1.698247575661938
